CpGs,Monocytes_EPIC,B-cells_EPIC,CD4T-cells_EPIC,NK-cells_EPIC,CD8T-cells_EPIC,Neutrophils_EPIC
cg22897141,0.2632,0.1968,0.2586,0.3176,0.2072,0.2014
cg22879098,0.5349,0.5507,0.3692,0.451,0.402,0.5331
cg24082121,0.5822,0.5525,0.2442,0.3097,0.3254,0.5558
cg03254916,0.2688,0.2273,0.2313,0.2754,0.2178,0.2501
cg08063160,0.7761,0.0969,0.5338,0.3152,0.3844,0.7581
cg08425810,0.706,0.8249,0.841,0.6698,0.866,0.6204
cg09267773,0.7251,0.0691,0.4459,0.5365,0.542,0.7737
cg02962602,0.5569,0.4813,0.3268,0.2805,0.2305,0.4945
cg24275356,0.2794,0.264,0.0843,0.0754,0.0748,0.2495
cg26953232,0.4601,0.4022,0.1396,0.1562,0.1308,0.4176
cg26757820,0.5911,0.1786,0.0888,0.4253,0.2868,0.5477
cg08832851,0.3915,0.0385,0.0359,0.0503,0.0363,0.4298
cg03711944,0.7877,0.7985,0.7903,0.7749,0.8316,0.7016
cg27388962,0.6395,0.0352,0.5345,0.7294,0.516,0.7352
cg04913246,0.5662,0.5323,0.0699,0.5341,0.1188,0.5058
cg10361922,0.1899,0.208,0.1548,0.1599,0.1476,0.1917
cg26264318,0.2101,0.1807,0.0813,0.0807,0.079,0.17
cg16416715,0.2601,0.2408,0.0731,0.067,0.0657,0.212
cg08257293,0.622,0.524,0.2553,0.3589,0.3348,0.622
cg26047334,0.7252,0.4559,0.323,0.5292,0.3248,0.6436
cg14057303,0.8257,0.6651,0.1413,0.1085,0.1371,0.7957
cg26264318,0.2101,0.1807,0.0813,0.0807,0.079,0.17
cg25158622,0.1869,0.1509,0.0508,0.0504,0.0505,0.1438
cg11975790,0.7251,0.2485,0.1584,0.6402,0.1886,0.7558
cg25607383,0.786,0.5156,0.4442,0.6886,0.4665,0.7793
cg14845962,0.9156,0.9098,0.9391,0.9103,0.9471,0.8968
cg08367326,0.0967,0.1011,0.0991,0.1038,0.0556,0.0579
cg16127573,0.8029,0.8161,0.7232,0.7291,0.7989,0.7728
cg27312961,0.5519,0.3744,0.4722,0.5148,0.5939,0.5464
cg13506158,0.8846,0.5882,0.7171,0.8792,0.8744,0.8613
cg27269488,0.5222,0.4121,0.4911,0.517,0.5692,0.5258
cg16278496,0.7411,0.8528,0.0816,0.8137,0.1024,0.654
cg11798182,0.7748,0.8567,0.1112,0.8118,0.1406,0.6985
cg15014975,0.9482,0.9537,0.8558,0.799,0.595,0.9149
cg04221877,0.8308,0.8358,0.7972,0.7466,0.6794,0.7834
cg10993442,0.8685,0.8405,0.8069,0.8004,0.7027,0.8028
cg24019564,0.626,0.6624,0.576,0.4998,0.4298,0.5496
cg05043794,0.4383,0.3658,0.1105,0.4032,0.1924,0.3575
cg09577804,0.2943,0.241,0.2293,0.2131,0.2056,0.2517
cg04778755,0.7571,0.7508,0.7472,0.6887,0.7545,0.7183
cg19331221,0.1614,0.138,0.1276,0.1695,0.1784,0.1373
cg18569141,0.2735,0.2696,0.3514,0.338,0.4462,0.2938
cg16439823,0.2934,0.2423,0.2437,0.291,0.2821,0.2807
cg18675610,0.5402,0.6193,0.3951,0.5454,0.5314,0.5786
cg22706007,0.2148,0.2877,0.2011,0.266,0.3053,0.2318
cg22138735,0.4726,0.4945,0.3096,0.3544,0.363,0.4274
cg04055490,0.5123,0.5545,0.2286,0.441,0.2011,0.4776
cg08846870,0.9464,0.9383,0.947,0.9471,0.9471,0.9482
cg07865091,0.7149,0.6769,0.6078,0.6529,0.6195,0.6946
cg17847861,0.4302,0.173,0.229,0.1842,0.2195,0.3504
cg03063309,0.7529,0.6688,0.5504,0.6141,0.5606,0.7108
cg16402452,0.912,0.916,0.9147,0.9074,0.9304,0.8829
cg11532431,0.7928,0.8391,0.797,0.8197,0.809,0.7844
cg02297709,0.8223,0.8464,0.8553,0.8259,0.8811,0.8128
cg15926420,0.6805,0.6609,0.6532,0.6858,0.7184,0.6602
cg24591770,0.9379,0.942,0.9398,0.9382,0.9456,0.9366
cg10661769,0.5449,0.3934,0.6978,0.5665,0.7328,0.5568
cg12433575,0.6892,0.586,0.8212,0.7495,0.8591,0.7026
cg06398251,0.7411,0.6326,0.5041,0.7395,0.4862,0.5757
cg04462378,0.5924,0.4854,0.4302,0.5129,0.5367,0.6126
cg14395885,0.9541,0.9529,0.9541,0.953,0.9649,0.9529
cg21181453,0.5752,0.7286,0.6958,0.6627,0.8,0.5805
cg00769843,0.1656,0.3016,0.1669,0.1767,0.1807,0.1589
cg07218880,0.7409,0.3803,0.1549,0.0854,0.1773,0.8049
cg06889535,0.4966,0.5182,0.4764,0.4786,0.5492,0.5371
cg01377358,0.7631,0.5214,0.2125,0.6559,0.263,0.6809
cg11025609,0.7751,0.7393,0.577,0.4865,0.5468,0.7735
cg01726273,0.5246,0.0399,0.0514,0.1637,0.0551,0.5346
cg15185986,0.7174,0.5354,0.6731,0.6427,0.6466,0.7234
cg06375761,0.161,0.1878,0.0776,0.0835,0.0453,0.1855
cg13638257,0.1698,0.1944,0.0603,0.068,0.023,0.1998
cg14419102,0.3889,0.3972,0.2134,0.2314,0.1045,0.402
cg18353226,0.2078,0.202,0.1136,0.1356,0.0758,0.2172
cg26083458,0.4801,0.4564,0.203,0.2918,0.0862,0.4926
cg15575375,0.9152,0.96,0.9685,0.8539,0.9689,0.8811
cg07438103,0.586,0.4884,0.143,0.4274,0.0943,0.5752
cg16988611,0.7131,0.5591,0.1881,0.5321,0.2221,0.6353
cg16017089,0.8361,0.9344,0.9069,0.8436,0.924,0.7792
cg08659179,0.7245,0.5662,0.518,0.5368,0.5081,0.7123
cg16306706,0.6973,0.6043,0.5038,0.6889,0.4874,0.6543
cg16829306,0.3748,0.2984,0.1131,0.2085,0.0667,0.3653
cg12461469,0.1733,0.0946,0.136,0.2033,0.2372,0.1864
cg13512830,0.4052,0.4846,0.4877,0.5211,0.5593,0.4909
cg08662757,0.0293,0.5156,0.0308,0.0123,0.0192,0.0164
cg14344261,0.0236,0.4105,0.0214,0.0111,0.0164,0.0089
cg13910860,0.0596,0.312,0.0593,0.0531,0.0571,0.0555
cg14317609,0.0291,0.8462,0.0595,0.0426,0.1156,0.0309
cg06671450,0.1299,0.3823,0.1582,0.1236,0.175,0.1187
cg19697530,0.0196,0.2757,0.0485,0.0165,0.0536,0.0109
cg09097345,0.0102,0.1659,0.0182,0.0085,0.0444,0.0088
cg11033835,0.0124,0.2373,0.0344,0.0286,0.1462,0.0064
cg19176391,0.033,0.5195,0.06,0.0328,0.0672,0.0234
cg25915131,0.0246,0.2428,0.0425,0.0543,0.0302,0.0428
cg16802508,0.0884,0.4682,0.1489,0.091,0.1802,0.0796
cg25753024,0.0397,0.5014,0.0468,0.0427,0.036,0.0465
cg05289892,0.0781,0.5664,0.081,0.071,0.0624,0.0622
cg24704730,0.0131,0.1518,0.0143,0.0072,0.0126,0.0066
cg26059153,0.0155,0.1552,0.0588,0.017,0.1148,0.008
cg06571075,0.0157,0.162,0.0308,0.021,0.1158,0.007
cg13650938,0.023,0.4081,0.1661,0.1171,0.1945,0.0188
cg22451233,0.1806,0.2996,0.2061,0.1899,0.2464,0.1776
cg24634420,0.0114,0.1563,0.0186,0.015,0.0615,0.0043
cg20937139,0.0511,0.1794,0.075,0.0542,0.1252,0.0437
cg17364114,0.0151,0.1901,0.0269,0.0124,0.0492,0.0083
cg10700424,0.0368,0.2004,0.0307,0.0244,0.0326,0.0229
cg07759394,0.0299,0.1746,0.0362,0.0268,0.0285,0.0264
cg23919479,0.0143,0.1778,0.052,0.0218,0.1506,0.0125
cg22079161,0.0902,0.4205,0.0846,0.0784,0.135,0.0636
cg13673164,0.035,0.1889,0.0456,0.0358,0.0642,0.0248
cg08915603,0.0185,0.2257,0.0709,0.0308,0.1615,0.01
cg09473510,0.0201,0.24,0.0847,0.0478,0.1847,0.0113
cg21918126,0.0112,0.151,0.039,0.0166,0.109,0.0088
cg13920435,0.0358,0.2719,0.0365,0.0322,0.0251,0.0264
cg16357921,0.0701,0.2716,0.069,0.0566,0.0642,0.0584
cg20536983,0.0585,0.2597,0.0634,0.0649,0.1058,0.0661
cg03304380,0.025,0.2004,0.0164,0.0167,0.0431,0.0069
cg05191076,0.0162,0.2079,0.0458,0.0294,0.1724,0.0066
cg17426273,0.0157,0.2042,0.0618,0.0336,0.1472,0.0091
cg08564661,0.0623,0.256,0.1081,0.0706,0.1938,0.051
cg03205140,0.074,0.1892,0.0823,0.0632,0.1285,0.0501
cg10576280,0.9112,0.9083,0.9186,0.9162,0.9309,0.9055
cg03287340,0.0163,0.1854,0.0845,0.0407,0.185,0.0161
cg12585966,0.0075,0.3046,0.1704,0.0832,0.2144,0.0119
cg02458065,0.0226,0.2066,0.0935,0.0265,0.1594,0.0125
cg24333845,0.0356,0.3536,0.0476,0.0395,0.043,0.037
cg05884394,0.0687,0.1514,0.099,0.1005,0.1327,0.0833
cg03098837,0.0209,0.2297,0.045,0.0198,0.1542,0.0101
cg24617568,0.0298,0.0714,0.0428,0.0479,0.0534,0.0292
cg05446424,0.0175,0.1676,0.0402,0.02,0.086,0.0155
cg05403555,0.0221,0.1486,0.0618,0.0338,0.1249,0.0155
cg04053392,0.0132,0.1638,0.025,0.0125,0.0538,0.0116
cg11238048,0.1122,0.2961,0.1427,0.1092,0.1691,0.0964
cg24416513,0.0072,0.2049,0.0201,0.0098,0.0431,0.0046
cg06906472,0.0273,0.2554,0.0344,0.0367,0.1272,0.0072
cg18778433,0.0367,0.2315,0.0476,0.0465,0.0932,0.018
cg12535280,0.0478,0.301,0.0776,0.0747,0.1549,0.0222
cg05602862,0.0247,0.2574,0.0966,0.0451,0.2132,0.0166
cg00604209,0.0182,0.1575,0.0519,0.0209,0.0815,0.0144
cg08915603,0.0185,0.2257,0.0709,0.0308,0.1615,0.01
cg09473510,0.0201,0.24,0.0847,0.0478,0.1847,0.0113
cg24636477,0.0296,0.1855,0.0225,0.0329,0.0397,0.0306
cg01244944,0.0902,0.2597,0.113,0.0977,0.1727,0.1013
cg27475132,0.0228,0.201,0.054,0.0257,0.1401,0.0114
cg24410535,0.0648,0.2,0.099,0.068,0.1558,0.0588
cg25191850,0.0472,0.2607,0.0896,0.05,0.2047,0.037
cg20947082,0.128,0.2066,0.1326,0.1214,0.1572,0.1256
cg18301891,0.0099,0.1784,0.0399,0.0316,0.1466,0.0064
cg01277542,0.0072,0.1257,0.0177,0.0086,0.0335,0.0056
cg10362591,0.0838,0.2242,0.1533,0.0874,0.1823,0.0728
cg14060111,0.0107,0.1927,0.0269,0.0154,0.0733,0.0035
cg09491991,0.0101,0.1549,0.0265,0.0145,0.0372,0.0107
cg25796439,0.0099,0.1411,0.023,0.0122,0.053,0.0056
cg04432319,0.02,0.1932,0.0384,0.0284,0.1254,0.012
cg12664209,0.0154,0.1829,0.0246,0.0161,0.0658,0.0073
cg25998402,0.0133,0.1538,0.0407,0.0102,0.0847,0.0077
cg17156565,0.0699,0.2142,0.1204,0.0684,0.1664,0.0503
cg20478129,0.0135,0.1669,0.0335,0.0374,0.1428,0.0094
cg16248329,0.0179,0.2269,0.0294,0.0382,0.1572,0.0044
cg10700424,0.0368,0.2004,0.0307,0.0244,0.0326,0.0229
cg07759394,0.0299,0.1746,0.0362,0.0268,0.0285,0.0264
cg05251676,0.0181,0.1441,0.0332,0.0209,0.0567,0.0125
cg01552272,0.0671,0.2997,0.1894,0.1061,0.314,0.0403
cg04624110,0.1034,0.3605,0.2756,0.1243,0.3694,0.0517
cg23169957,0.074,0.3164,0.204,0.1076,0.3256,0.0488
cg25557432,0.0309,0.2264,0.0931,0.0419,0.2005,0.0164
cg04716990,0.022,0.202,0.0634,0.0278,0.1617,0.0107
cg06571075,0.0157,0.162,0.0308,0.021,0.1158,0.007
cg01552272,0.0671,0.2997,0.1894,0.1061,0.314,0.0403
cg04624110,0.1034,0.3605,0.2756,0.1243,0.3694,0.0517
cg23169957,0.074,0.3164,0.204,0.1076,0.3256,0.0488
cg25557432,0.0309,0.2264,0.0931,0.0419,0.2005,0.0164
cg04716990,0.022,0.202,0.0634,0.0278,0.1617,0.0107
cg06571075,0.0157,0.162,0.0308,0.021,0.1158,0.007
cg04925858,0.0665,0.2648,0.0359,0.0774,0.0359,0.086
cg09082903,0.0172,0.1698,0.0813,0.038,0.1729,0.0121
cg18932726,0.0214,0.2166,0.0294,0.0373,0.1604,0.007
cg05608777,0.015,0.1465,0.0227,0.025,0.0866,0.0091
cg11183632,0.0151,0.1446,0.0136,0.007,0.0366,0.0035
cg20809378,0.0284,0.2439,0.0714,0.0508,0.1137,0.0226
cg14060111,0.0107,0.1927,0.0269,0.0154,0.0733,0.0035
cg09491991,0.0101,0.1549,0.0265,0.0145,0.0372,0.0107
cg25796439,0.0099,0.1411,0.023,0.0122,0.053,0.0056
cg04432319,0.02,0.1932,0.0384,0.0284,0.1254,0.012
cg12664209,0.0154,0.1829,0.0246,0.0161,0.0658,0.0073
cg09912350,0.0179,0.153,0.0344,0.0241,0.093,0.0153
cg21426003,0.0224,0.2545,0.0689,0.0279,0.1471,0.0168
cg19761848,0.039,0.3181,0.1072,0.05,0.2133,0.0214
cg13985485,0.07,0.3311,0.0725,0.0421,0.1616,0.0206
cg13570831,0.0192,0.1421,0.0196,0.0116,0.0312,0.0101
cg19358877,0.013,0.1348,0.044,0.0209,0.155,0.008
cg03735496,0.034,0.2312,0.0534,0.0255,0.0829,0.0209
cg10276227,0.0204,0.2036,0.0466,0.0222,0.0648,0.0147
cg14326196,0.0201,0.3029,0.0987,0.054,0.2759,0.0042
cg12894649,0.025,0.2003,0.065,0.0527,0.2394,0.0106
cg23944804,0.018,0.2048,0.0609,0.0415,0.2807,0.0099
cg14603345,0.0215,0.2333,0.0808,0.0562,0.2957,0.0102
cg14060111,0.0107,0.1927,0.0269,0.0154,0.0733,0.0035
cg09491991,0.0101,0.1549,0.0265,0.0145,0.0372,0.0107
cg25796439,0.0099,0.1411,0.023,0.0122,0.053,0.0056
cg04432319,0.02,0.1932,0.0384,0.0284,0.1254,0.012
cg12664209,0.0154,0.1829,0.0246,0.0161,0.0658,0.0073
cg19811761,0.0175,0.2026,0.0786,0.0502,0.2436,0.0096
cg00674365,0.0207,0.2295,0.0566,0.0449,0.2983,0.0054
cg14255256,0.0447,0.2431,0.0801,0.0514,0.1247,0.0396
cg03242819,0.0326,0.2218,0.0331,0.017,0.0818,0.0132
cg19429281,0.0233,0.1976,0.0465,0.0243,0.1213,0.0083
cg14344261,0.0236,0.4105,0.0214,0.0111,0.0164,0.0089
cg13910860,0.0596,0.312,0.0593,0.0531,0.0571,0.0555
cg26422161,0.03,0.2245,0.0584,0.0412,0.0919,0.0175
cg18804985,0.029,0.1645,0.0481,0.0338,0.1176,0.0208
cg23244559,0.0677,0.2582,0.1678,0.1129,0.2908,0.0628
cg27113059,0.0175,0.1516,0.02,0.0102,0.0193,0.0112
cg16652741,0.0153,0.1406,0.0268,0.023,0.0579,0.0098
cg18932726,0.0214,0.2166,0.0294,0.0373,0.1604,0.007
cg05608777,0.015,0.1465,0.0227,0.025,0.0866,0.0091
cg00212988,0.0179,0.1761,0.085,0.0372,0.1257,0.0164
cg23654127,0.047,0.1742,0.1352,0.0669,0.1613,0.0476
cg01552272,0.0671,0.2997,0.1894,0.1061,0.314,0.0403
cg04624110,0.1034,0.3605,0.2756,0.1243,0.3694,0.0517
cg23169957,0.074,0.3164,0.204,0.1076,0.3256,0.0488
cg25557432,0.0309,0.2264,0.0931,0.0419,0.2005,0.0164
cg04716990,0.022,0.202,0.0634,0.0278,0.1617,0.0107
cg26059153,0.0155,0.1552,0.0588,0.017,0.1148,0.008
cg06571075,0.0157,0.162,0.0308,0.021,0.1158,0.007
cg27166993,0.0224,0.1371,0.0485,0.0295,0.1195,0.0201
cg05502701,0.0312,0.183,0.0844,0.0402,0.1758,0.0222
cg24353443,0.0223,0.2536,0.1194,0.0475,0.265,0.0248
cg10111115,0.1609,0.3154,0.2596,0.1774,0.3262,0.1532
cg14473924,0.1565,0.4055,0.325,0.2034,0.4314,0.1544
cg10755973,0.006,0.1178,0.0078,0.0043,0.032,0.003
cg08675717,0.0086,0.1243,0.0226,0.0106,0.0338,0.0082
cg13330559,0.0315,0.2254,0.0459,0.0242,0.1535,0.0185
cg21599230,0.0239,0.213,0.0733,0.1039,0.134,0.0369
cg18314424,0.0275,0.171,0.0607,0.025,0.0682,0.0186
cg27051931,0.0278,0.1691,0.0527,0.0325,0.0993,0.0235
cg02487453,0.0233,0.191,0.0756,0.0386,0.1543,0.0151
cg02422426,0.0339,0.1607,0.0364,0.0303,0.0347,0.0189
cg13524302,0.0708,0.2419,0.0739,0.0414,0.1298,0.0422
cg23075555,0.0485,0.218,0.093,0.0332,0.1241,0.0324
cg24465429,0.0535,0.1783,0.0677,0.0466,0.0853,0.0424
cg02662362,0.056,0.188,0.0685,0.0358,0.0813,0.0409
cg17833071,0.1792,0.3384,0.2416,0.1684,0.2575,0.1671
cg24266485,0.2001,0.3116,0.2193,0.1751,0.2324,0.1798
cg06781135,0.0326,0.2149,0.157,0.0275,0.1731,0.0223
cg11369071,0.1235,0.2838,0.2576,0.124,0.2696,0.1148
cg14051842,0.1143,0.1764,0.1527,0.0989,0.1489,0.1023
cg12272837,0.0434,0.1802,0.1163,0.053,0.1931,0.0397
cg02935627,0.0982,0.2381,0.1723,0.1244,0.2372,0.1049
cg12835048,0.0448,0.2012,0.0836,0.0382,0.114,0.0359
cg09880551,0.0381,0.2592,0.0728,0.0451,0.1814,0.0178
cg21173447,0.0929,0.3056,0.1543,0.1195,0.251,0.0834
cg25591794,0.0217,0.1401,0.0544,0.0348,0.0979,0.0096
cg13524302,0.0708,0.2419,0.0739,0.0414,0.1298,0.0422
cg23075555,0.0485,0.218,0.093,0.0332,0.1241,0.0324
cg24465429,0.0535,0.1783,0.0677,0.0466,0.0853,0.0424
cg02662362,0.056,0.188,0.0685,0.0358,0.0813,0.0409
cg17833071,0.1792,0.3384,0.2416,0.1684,0.2575,0.1671
cg24266485,0.2001,0.3116,0.2193,0.1751,0.2324,0.1798
cg14060111,0.0107,0.1927,0.0269,0.0154,0.0733,0.0035
cg09491991,0.0101,0.1549,0.0265,0.0145,0.0372,0.0107
cg25796439,0.0099,0.1411,0.023,0.0122,0.053,0.0056
cg04432319,0.02,0.1932,0.0384,0.0284,0.1254,0.012
cg12664209,0.0154,0.1829,0.0246,0.0161,0.0658,0.0073
cg02910208,0.0086,0.1132,0.0296,0.0117,0.0606,0.0078
cg14487131,0.0149,0.1373,0.0325,0.0134,0.0739,0.0106
cg24531022,0.0055,0.0373,0.249,0.0102,0.0542,0.0069
cg15085899,0.0182,0.3064,0.9096,0.6285,0.9416,0.0214
cg12034678,0.002,0.0038,0.2081,0.0143,0.3418,0.0059
cg05412028,0.0505,0.2034,0.4616,0.1819,0.4656,0.094
cg26685941,0.0926,0.2244,0.4153,0.2005,0.377,0.1513
cg02003159,0.013,0.1017,0.1329,0.021,0.1955,0.0088
cg24124443,0.0322,0.2448,0.6001,0.1601,0.6207,0.0192
cg03384992,0.0242,0.0777,0.1662,0.0238,0.1769,0.0151
cg06593258,0.1062,0.2451,0.3644,0.1529,0.3824,0.1041
cg26398656,0.0655,0.146,0.2173,0.0708,0.2373,0.066
cg11006267,0.0041,0.0073,0.2862,0.0123,0.1929,0.0061
cg02983950,0.014,0.0467,0.3526,0.021,0.175,0.0087
cg14873488,0.0076,0.0105,0.3339,0.0224,0.3467,0.012
cg00349895,0.0128,0.0176,0.2845,0.0394,0.2075,0.0198
cg01022974,0.0097,0.0152,0.3157,0.0365,0.2515,0.013
cg05164926,0.0153,0.0618,0.5027,0.0592,0.4184,0.062
cg18213545,0.0278,0.14,0.5196,0.159,0.5962,0.0328
cg10831212,0.0232,0.2169,0.805,0.3763,0.815,0.0279
cg19210276,0.0479,0.2196,0.7612,0.2369,0.7931,0.0489
cg15650509,0.019,0.0776,0.2674,0.0342,0.2273,0.0362
cg15473346,0.0067,0.0212,0.4348,0.3965,0.3725,0.0076
cg06121450,0.055,0.0621,0.2654,0.2322,0.2345,0.0538
cg14612335,0.0187,0.0265,0.4059,0.0758,0.3501,0.021
cg00349895,0.0128,0.0176,0.2845,0.0394,0.2075,0.0198
cg01022974,0.0097,0.0152,0.3157,0.0365,0.2515,0.013
cg16208357,0.0167,0.0457,0.1009,0.0268,0.1414,0.015
cg24104567,0.0196,0.0451,0.1923,0.0268,0.262,0.0174
cg02763536,0.0199,0.0463,0.1868,0.0398,0.2192,0.0209
cg03717364,0.0259,0.1671,0.507,0.1366,0.5148,0.03
cg04011671,0.0182,0.1079,0.4632,0.0796,0.4595,0.0228
cg02971575,0.0061,0.0513,0.1226,0.0129,0.199,0.003
cg07363543,0.0151,0.036,0.5132,0.1669,0.291,0.0175
cg15232539,0.043,0.2209,0.6885,0.0636,0.4478,0.0536
cg21344746,0.0119,0.0453,0.3864,0.0977,0.4667,0.0138
cg25606201,0.0331,0.0628,0.4102,0.1225,0.3174,0.0378
cg26008365,0.0168,0.0269,0.6347,0.2155,0.5495,0.0267
cg10640944,0.0296,0.0476,0.2213,0.0282,0.0781,0.0295
cg16208357,0.0167,0.0457,0.1009,0.0268,0.1414,0.015
cg24104567,0.0196,0.0451,0.1923,0.0268,0.262,0.0174
cg02763536,0.0199,0.0463,0.1868,0.0398,0.2192,0.0209
cg08640252,0.0218,0.074,0.2135,0.0462,0.2376,0.0324
cg18976418,0.0371,0.1234,0.7549,0.1574,0.7622,0.0367
cg25365958,0.0924,0.1507,0.6594,0.2218,0.7509,0.1047
cg16247817,0.0337,0.2043,0.3067,0.0339,0.1107,0.0367
cg24408896,0.2118,0.4257,0.5082,0.1057,0.3781,0.2173
cg10683341,0.021,0.0369,0.2424,0.0458,0.2454,0.0282
cg23651614,0.0399,0.046,0.2346,0.0836,0.2355,0.0387
cg10831212,0.0232,0.2169,0.805,0.3763,0.815,0.0279
cg19210276,0.0479,0.2196,0.7612,0.2369,0.7931,0.0489
cg08092930,0.0393,0.1626,0.32,0.185,0.3783,0.0125
cg15416179,0.0125,0.0834,0.238,0.0778,0.2688,0.0145
cg18609578,0.0401,0.0922,0.3912,0.0782,0.3203,0.0474
cg03997390,0.0603,0.0842,0.2495,0.0743,0.2148,0.0564
cg12446199,0.0247,0.0235,0.6269,0.4531,0.6429,0.0282
cg22707529,0.0357,0.0516,0.4232,0.0893,0.3902,0.0342
cg20865323,0.0306,0.0321,0.2781,0.0511,0.2551,0.0281
cg27557428,0.017,0.1809,0.2929,0.1555,0.263,0.016
cg12426092,0.065,0.1681,0.7631,0.2713,0.8449,0.0704
cg13469590,0.0155,0.0212,0.2046,0.0474,0.3339,0.0165
cg13607248,0.0403,0.0288,0.3333,0.1313,0.5397,0.0793
cg05103231,0.0547,0.0556,0.1417,0.0566,0.1186,0.048
cg26860970,0.175,0.1737,0.2956,0.1818,0.2958,0.1694
